嵌入式开发工程师,北京·海淀区·中关村,发布于04月01日,10-15K·14薪,在校/应届本科,大恒图像,计算机软件不需要融资500-999人,深度学习算法 算法设计 机器学习算法 C++,"岗位要求：
1、电子、通信、自动化、计算机等相关专业，硕士学历，优秀本科亦可考虑；
2、熟练掌握C/C++/Python开发语言，具有良好的编程习惯；
3、熟悉Linux系统环境及常用指令；
4、具有ARM Linux应用软件的开发经验；
5、具有机器学习、深度学习基础和研发经验；
6、具备团队合作精神，有责任心，能够在压力下独立工作；
7、了解至少一种深度学习模型搭建工具（TensorFlow/Keras/PyTorch）者优先；
岗位职责：
1.负责相机视觉应用程序开发；
2.将相关AI算法在实际项目中落地；
3.参与算法平台搭建与模型训练；
职位招聘2-5人"
算法工程师(实习),北京·海淀区·西三旗,发布于03月09日,150-300元/天,4天/周3个月本科,饿了么,O2O不需要融资10000人以上,深度学习算法 搜索算法 广告算法 机器学习算法,"阿里本地生活-算法方向-实习生招聘
岗位部门：商业推广事业部
岗位名称：算法工程师
岗位职责：
1、负责阿里本地生活LBS场景定向广告中的DMP建设、广告受众建模、人群lookalike等；
2、负责到家、到店、整合营销等广告场景的业务探索和创新，在商户增长和流量效率两个方面共同提效，提升广告消耗；
3、负责文本创意中心建设工作，支持短信、push、广告会场等营销场景提效；
4、跟进业界技术发展，结合本地生活的业务特点，打造业界领先的算法和架构系统。
任职条件：
1、良好的团队合作精神和沟通能力；积极、主动、有高度的责任心；
3、工作踏实认真，具备优秀的逻辑思维能力，善于思考
4、有扎实的机器学习、模式识别、深度学习、NLP等理论基础
5、熟悉深度学习相关算法或者开源框架如 Tensorflow优先，有自然语言处理，机器学习、人工智能项目经验或者相关领域论文者优先
6、有一定编程能力，良好的英文文献阅读理解能力；
7，毕业时间：2021.11～2022.10
实习地点北京、上海、杭州均可，实习时间尽量不少于3个月，实习期过能力达标者有机会直接转正。"
路径规划&控制算法工程师,北京·海淀区·中关村,发布于05月29日,20-40K·14薪,在校/应届本科,上海高仙,智能硬件C轮500-999人,Matlab C++,"岗位职责：
1、将机器人自动驾驶算法、机器人控制算法等相关技术应用到实际产品中；
2、对现有产品的性能和架构进行改进以及新技术的研究与应用。
职位要求：
1、本科以上学历，计算机、控制、自动化等相关专业；
2、熟练掌握 C++及 STL；
3、熟悉 Linux 编程，了解操作系统的基本原理；
4、熟悉面向对象基本思想、了解常用设计模式；
5、善于编写可靠的高质量代码，善于编写内容丰富的文档；
6、工作细致，思维严谨，具有良好的表达能力、团队合作能力，具有较强的抗压能力。
加分项
1、熟悉状态机设计，熟悉 ROS；
2、有丰富的Planning&Control算法经验；
3、有非常好的工程能力和工程经验。"
图像算法工程师,北京·大兴区·马驹桥,发布于04月09日,10-15K,在校/应届本科,金风科技,计算机软件已上市1000-9999人,视觉图像算法 深度学习算法 Python 图像处理,"1、负责图像算法在实际业务中落地；
2、沟通业务需求，把实际需求转化为算法可解决的问题，搭建、训练及部署模型；
3、根据模型线上运行情况，更新迭代模型，提升模型性能。
要求
1、计算机相关专业，本科及以上学历（硕士优先）；
2、了解OpenCV等图像处理工具；
3、了解图像分类、目标检测、OCR、人脸识别等任务主流算法，包括但不限于Resnet，Faster-rcnn，SSD，Yolo等；
4、掌握python，熟练使用tensorflow、pytorch、MXNet等至少一种深度学习框架（掌握Django框架等后端基础知识者优先）；
职位招聘1-2人"
语音识别算法实习生,北京,发布于12月23日,150-200元/天,4天/周3个月本科,仙豆智能,互联网不需要融资500-999人,语音算法 深度学习算法 自然语言处理,"专业要求：计算机、通信、数学等相关专业
实习时间：实习时间最少3个月，每周4个工作日及以上
地点：北京
工作职责:
-参与语音识别声学模型相关算法的研究与开发；
-参与语音技术及产品相关的研发工作 (唤醒词、关键词识别、连续语音识别等)
-探索行业领先的研究成果，并将之用于产品和技术升级开发的实际过程中
任职要求:
-数学、计算机信号处理、通信工程相关专业硕士或博士；
-熟悉语音识别基本的算法和框架，满足以下至少一项者优先：
-熟悉语音识别常用算法框架 (如HMM，CTC，chain，LAS等)；
-熟悉常用开源工具，如Kaldi，CNTK，Paddle，caffe等；
-熟悉语音识别声学模型常用神经网络，如DNN，CNN，LSTM，BLSTM等；
-熟悉语音识别解码器基础算法，如Beam search，Token Passing等；
-熟悉C++/C/Python/Shell编程；
-有良好的理解、沟通和逻辑分析能力；
-学习能力强，积极主动，注重细节，做事耐心"
深度学习(实习),北京·海淀区·上地,发布于02月02日,300-500元/天,4天/周3个月本科,华为,计算机软件不需要融资10000人以上,深度学习算法 视觉图像算法 机器学习算法 人工智能,"目标对象：毕业时间在 2021-11-01 以后的海内外高校在读硕博，成绩优异，具有扎实的计算机视觉算法基础，动手能力强， 具备论文写作的能力；对华为的业务场景拥有浓厚兴趣。
1． 计算机相关专业硕士或博士，对机器学习及深度学习技术在视觉系统中的应用有研究兴趣，希望发表相关的顶会论文;
2． 熟练应用tensorflow/pytorch等深度学习框架，并能快速实现和调试自定义算法，有领域相关竞赛获奖可加分；
3． 加分项：有相关领域顶会（ICML/NIPS/ICLR/ICCV/CVPR/ECCV/...）论文发表经验者优先。
团队是华为旗下顶级人工智能研发团队，专注于计算机视觉、机器学习和深度学习等领域的技术研发，依托多年积累的技术经验与前沿技术探索，通过云+端的产品和行业解决方案，有效地解决各类业务问题。
实验室成员多数来自于清华、北大、中科院、浙大等顶级高校的博士、硕士，在CVPR，ECCV，ICCV，PAMI，AAAI，IJCAI等顶级会议期刊上发表过诸多论文，先后申请了近百项专利，具有深厚的学术研究背景和良好的工程实践能力。"
语音算法工程师(实习),北京·海淀区·中关村,发布于11月12日,150-200元/天,3天/周3个月本科,汽车之家,互联网已上市1000-9999人,人工智能 深度学习算法 TTS ASR 语音识别,"职责描述：
前端降噪/ASR/TTS系统的算法研究与开发。
任职要求：
1、Python/shell/C/C++/Java至少会一种，熟悉Linux平台；
2、有语音信号处理相关经验；
3、有机器学习/深度学习相关经验。"
人工智能讲师(实习),北京,发布于03月18日,150-200元/天,5天/周6个月本科,旷视MEGVII,计算机服务D轮及以上1000-9999人,深度学习算法 视觉图像算法 Python C++,"深度学习教学实习生
岗位职责：
1. 在研究院AI高级研究员的指导下熟悉旷视深度学习流程；
2. 协助AI高级研究员进行深度学习课程的设计与迭代；
3. 参与旷视研究院技术、学术、工程实践等方面的研讨、演讲、培训，不断提升技术水平、教学能力。
岗位要求：
1. 细致耐心，一周到岗4天以上。
1. 在机器学习、深度学习、计算机视觉、人工智能等相关领域有一定基础，本硕均可；
2. 熟练使用一种或多种编程语言，如Python、C/C++、Java，有较强的算法和数据结构功底 ；
3. 良好的自我驱动能力、学习能力，对工作认真负责，踏实可靠；
4. 良好的语言逻辑表达能力与文档、ppt撰写能力；
5. 有教育理想愿意把自身经验技术传播给更多的人。"
name,address,update,wage,degree,company,company_info,tag,detail
算法工程师（北京校招）,北京·海淀区·北太平庄,发布于03月15日,15-20K,在校/应届本科,中华会计网校,在线教育不需要融资1000-9999人,深度学习算法 机器学习算法 Java 分布式技术,"岗位职责：
1、负责个性化推荐系统整体算法策略的设计与实现；
2、负责推荐线上排序系统的效果优化与迭代；
3、参与大规模分布式机器学习训练打分系统的探索与实现。
任职要求：
1、2020-2021届本科/硕士应届生，计算机相关专业；
2、熟悉Windows、Linux操作系统的维护操作；
3、了解Java，或C/C 语言及相关开发工具；
4、人品端正，能吃苦耐劳，踏实工作；
5、具有较强的团队合作精神，责任心强。
职位招聘1-5人"
机器学习平台开发实习生,北京·朝阳区·望京,发布于12月07日,250-350元/天,4天/周3个月本科,Mobvista,移动互联网已上市500-999人,c++ 后端,"我们是Mobvista机器学习平台工程研发团队，负责Mobvista集团的分布式机器学习训练、在线高性能模型预测等相关的平台工程建设。这里有百亿级的用户数据，十亿级的日活用户，和每天数百亿的在线广告精准定向请求。在这里你能够深度参与到大规模机器学习工程的研发工作中，驱动广告核心业务持续增长。
岗位职责：
1、负责公司的计算广告机器学习平台的工程开发；
2、负责高性能、大规模的集群分布式计算，包括但不限于集群资源调度、离线和流式计算、分布式机器学习框架和在线预测服务等核心技术的研发、调优；
3、服务公司效果广告算法等核心业务线。
任职资格：
1. 熟悉Linux编程环境，有良好的至少一门语言 (C++、Python、Java) 开发调试经验；
2. 有常用机器学习框架上手经验，如TensorFlow、MXNet、PyTorch、XGBoost等；
3. 对大数据开发相关技术，如hadoop、spark等有了解；
4. 思维敏捷，有较强的钻研学习能力，较好的沟通能力、团队合作 。"
算法工程师-实习生,北京·朝阳区·鸟巢,发布于03月09日,300-310元/天,4天/周4个月本科,京东集团,电子商务已上市10000人以上,自然语言处理 深度学习算法 Python C++,"工作内容：
1. 京东主搜十亿级商品召回、排序、NLP相关性、图像等算法的实现与优化
2. 搭建搜索算法应用平台
3. 通过对数据的分析、算法的优化，改进搜索用户体验、提升业务发展效率
岗位要求：
1. 计算机、数学、软件工程或相关专业。
2. 熟悉C++、Python等流行编程语言，编程能力强。
3. 具备扎实的数学、数据结构、算法基本功，具备优秀的学习能力。
4. 有扎实的c++基础优先（这个最加分，最好精通c语言），有acm比赛获奖优先，有搜索、推荐、广告经验优先，对深度文本匹配模型熟悉或有深度学习算法经验优先。"
图像算法工程师(实习),北京·海淀区·紫竹桥,发布于03月22日,120-180元/天,4天/周3个月本科,易车,互联网已上市1000-9999人,视觉图像算法 深度学习算法 Python 人工智能,"1. 人脸检测识别
2. OCR
3. 行人检测
4. 多目标跟踪
5. 图像识别服务开发与部署"
图像实习生,北京·朝阳区·望京,发布于03月26日,200-250元/天,5天/周3个月本科,北京新氧万维,互联网已上市1000-9999人,视觉图像算法 C++ Python 图像处理 人脸识别,"岗位职责：
1、协助或独立进行人脸识别、图像语义分割、图像生成、目标检测定位等视觉算法模型研发。
2、关注行业技术发展动态，前沿技术调研、应用创新。
3、团队工作协作及部门安排的其他工作。
任职要求：
1、掌握数字图像处理相关知识，图像、计算机、数学、通信、测绘、遥感、仿真等与图像方向相关的理工科专业。
2、本科以上学历。
3、熟练使用python、c/c++等经程语言的一种，熟悉linux常见操作。
4、熟悉图像编程，熟悉opencv，pytorch，TensorFlow等框架。
5、有神经网络优化、模型加速、深度学习框架应用实践，或概率论、高数、线性代数、数理统计能力者突出者优先考虑。
6、执行力强，效率高，有团队协作精神及大局观，积极乐观，有抗压能力。"
